,Year_0,row_id,currentEmp13[other]_0,currentEmp13
334,2026,2026_691,,Biological sciences
335,2026,2026_694,,Biological sciences
336,2026,2026_699,Environment and geological sciences ,Biological sciences
337,2026,2026_701,,Biological sciences
338,2026,2026_703,,Biological sciences
339,2026,2026_705,,Biological sciences
340,2026,2026_706,,Biological sciences
341,2026,2026_707,,Biological sciences
342,2026,2026_708,Research Agnostic,Biological sciences
343,2026,2026_711,,Biological sciences
344,2026,2026_722,,Biological sciences
345,2026,2026_724,,Biological sciences
346,2026,2026_731,,Biological sciences
347,2026,2026_740,,Biological sciences
348,2026,2026_744,,Biological sciences
349,2026,2026_746,,Biological sciences
350,2026,2026_747,,Biological sciences
351,2026,2026_751,,Biological sciences
352,2026,2026_758,,Biological sciences
353,2026,2026_762,,Biological sciences
354,2026,2026_767,,Biological sciences
355,2026,2026_782,,Biological sciences
356,2026,2026_785,,Biological sciences
357,2026,2026_795,,Biological sciences
358,2026,2026_804,,Biological sciences
359,2026,2026_806,,Biological sciences
360,2026,2026_810,,Biological sciences
361,2026,2026_816,,Biological sciences
362,2026,2026_818,,Biological sciences
363,2026,2026_820,,Biological sciences
364,2026,2026_823,,Biological sciences
365,2026,2026_827,,Biological sciences
366,2026,2026_836,,Biological sciences
367,2026,2026_842,,Biological sciences
368,2026,2026_843,,Biological sciences
369,2026,2026_844,,Biological sciences
370,2026,2026_845,,Biological sciences
371,2026,2026_870,,Biological sciences
372,2026,2026_874,,Biological sciences
373,2026,2026_880,,Biological sciences
374,2026,2026_881,,Biological sciences
375,2026,2026_883,,Biological sciences
376,2026,2026_886,,Biological sciences
377,2026,2026_887,,Biological sciences
378,2026,2026_898,,Biological sciences
379,2026,2026_900,,Biological sciences
380,2026,2026_904,,Biological sciences
381,2026,2026_907,,Biological sciences
382,2026,2026_913,,Biological sciences
383,2026,2026_914,"We operate university-wide, so all of the above",Biological sciences
384,2026,2026_924,,Biological sciences
385,2026,2026_925,Chemistry,Biological sciences
386,2026,2026_929,,Biological sciences
387,2026,2026_931,,Biological sciences
388,2026,2026_932,,Biological sciences
389,2026,2026_934,,Biological sciences
390,2026,2026_941,Infrastructure,Biological sciences
391,2026,2026_944,,Biological sciences
392,2026,2026_948,,Biological sciences
393,2026,2026_950,,Biological sciences
394,2026,2026_961,,Biological sciences
395,2026,2026_971,,Biological sciences
396,2026,2026_976,,Biological sciences
397,2026,2026_977,,Biological sciences
398,2026,2026_982,,Biological sciences
399,2026,2026_986,,Biological sciences
400,2026,2026_995,,Biological sciences
401,2026,2026_1000,,Biological sciences
402,2026,2026_1004,,Biological sciences
403,2026,2026_1007,,Biological sciences
404,2026,2026_1011,,Biological sciences
405,2026,2026_1013,,Biological sciences
406,2026,2026_1018,,Biological sciences
407,2026,2026_1019,,Biological sciences
408,2026,2026_1031,,Biological sciences
409,2026,2026_1032,Bioinformatics,Biological sciences
410,2026,2026_1033,,Biological sciences
411,2026,2026_1035,,Biological sciences
412,2026,2026_1036,,Biological sciences
413,2026,2026_1039,,Biological sciences
414,2026,2026_1040,,Biological sciences
415,2026,2026_1044,,Biological sciences
416,2026,2026_1046,Chemical sciences,Biological sciences
417,2026,2026_1048,,Biological sciences
418,2026,2026_1051,,Biological sciences
419,2026,2026_1055,,Biological sciences
420,2026,2026_1060,,Biological sciences
421,2026,2026_1069,,Biological sciences
422,2026,2026_1072,,Biological sciences
423,2026,2026_1075,,Biological sciences
424,2026,2026_1081,,Biological sciences
425,2026,2026_1082,,Biological sciences
426,2026,2026_1085,,Biological sciences
427,2026,2026_1086,,Biological sciences
428,2026,2026_1088,,Biological sciences
429,2026,2026_1089,,Biological sciences
430,2026,2026_1091,,Biological sciences
431,2026,2026_1095,,Biological sciences
432,2026,2026_1106,,Biological sciences
433,2026,2026_1112,,Biological sciences
434,2026,2026_1115,,Biological sciences
435,2026,2026_1126,,Biological sciences
436,2026,2026_1132,,Biological sciences
437,2026,2026_1133,,Biological sciences
438,2026,2026_1134,,Biological sciences
439,2026,2026_1135,,Biological sciences
440,2026,2026_1143,,Biological sciences
441,2026,2026_1145,,Biological sciences
442,2026,2026_1147,,Biological sciences
443,2026,2026_1154,,Biological sciences
444,2026,2026_1155,,Biological sciences
445,2026,2026_1159,,Biological sciences
446,2026,2026_1162,,Biological sciences
447,2026,2026_257,,Veterinary science
448,2026,2026_263,,Veterinary science
449,2026,2026_273,,Veterinary science
450,2026,2026_352,,Veterinary science
451,2026,2026_358,,Veterinary science
452,2026,2026_455,,Veterinary science
453,2026,2026_484,,Veterinary science
454,2026,2026_487,,Veterinary science
455,2026,2026_663,,Veterinary science
456,2026,2026_823,,Veterinary science
457,2026,2026_827,,Veterinary science
458,2026,2026_844,,Veterinary science
459,2026,2026_932,,Veterinary science
460,2026,2026_961,,Veterinary science
461,2026,2026_1018,,Veterinary science
462,2026,2026_1134,,Veterinary science
463,2026,2026_1143,,Veterinary science
464,2026,2026_17,,Agriculture and related subjects
465,2026,2026_26,,Agriculture and related subjects
466,2026,2026_48,,Agriculture and related subjects
467,2026,2026_69,,Agriculture and related subjects
468,2026,2026_124,,Agriculture and related subjects
469,2026,2026_132,,Agriculture and related subjects
470,2026,2026_144,,Agriculture and related subjects
471,2026,2026_156,,Agriculture and related subjects
472,2026,2026_167,,Agriculture and related subjects
473,2026,2026_171,Statistics,Agriculture and related subjects
474,2026,2026_187,,Agriculture and related subjects
475,2026,2026_188,,Agriculture and related subjects
476,2026,2026_257,,Agriculture and related subjects
477,2026,2026_263,,Agriculture and related subjects
478,2026,2026_264,,Agriculture and related subjects
479,2026,2026_266,,Agriculture and related subjects
480,2026,2026_325,,Agriculture and related subjects
481,2026,2026_351,,Agriculture and related subjects
482,2026,2026_352,,Agriculture and related subjects
483,2026,2026_360,,Agriculture and related subjects
484,2026,2026_363,,Agriculture and related subjects
485,2026,2026_399,,Agriculture and related subjects
486,2026,2026_414,,Agriculture and related subjects
487,2026,2026_484,,Agriculture and related subjects
