,Year_0,row_id,genAI3[other]_0,genAI3
323,2026,2026_1042,,ChatGPT
324,2026,2026_1044,,ChatGPT
325,2026,2026_1046,Local OpenAI instance,ChatGPT
326,2026,2026_1047,,ChatGPT
327,2026,2026_1050,,ChatGPT
328,2026,2026_1052,,ChatGPT
329,2026,2026_1055,,ChatGPT
330,2026,2026_1056,,ChatGPT
331,2026,2026_1060,Supermaven,ChatGPT
332,2026,2026_1070,,ChatGPT
333,2026,2026_1076,,ChatGPT
334,2026,2026_1077,,ChatGPT
335,2026,2026_1078,,ChatGPT
336,2026,2026_1079,,ChatGPT
337,2026,2026_1080,,ChatGPT
338,2026,2026_1082,,ChatGPT
339,2026,2026_1083,,ChatGPT
340,2026,2026_1086,,ChatGPT
341,2026,2026_1088,,ChatGPT
342,2026,2026_1091,,ChatGPT
343,2026,2026_1101,DeepSeek,ChatGPT
344,2026,2026_1104,,ChatGPT
345,2026,2026_1112,,ChatGPT
346,2026,2026_1113,Copilot,ChatGPT
347,2026,2026_1114,,ChatGPT
348,2026,2026_1124,,ChatGPT
349,2026,2026_1128,deepseek,ChatGPT
350,2026,2026_1129,,ChatGPT
351,2026,2026_1130,,ChatGPT
352,2026,2026_1132,,ChatGPT
353,2026,2026_1134,,ChatGPT
354,2026,2026_1135,,ChatGPT
355,2026,2026_1136,,ChatGPT
356,2026,2026_1138,"Local, open source models (e.g.: gpt-oss or qwen-coder-next)",ChatGPT
357,2026,2026_1140,,ChatGPT
358,2026,2026_1141,,ChatGPT
359,2026,2026_1142,,ChatGPT
360,2026,2026_1143,,ChatGPT
361,2026,2026_1144,,ChatGPT
362,2026,2026_1145,,ChatGPT
363,2026,2026_1146,,ChatGPT
364,2026,2026_1152,,ChatGPT
365,2026,2026_1153,,ChatGPT
366,2026,2026_1154,,ChatGPT
367,2026,2026_1155,,ChatGPT
368,2026,2026_1156,,ChatGPT
369,2026,2026_1157,,ChatGPT
370,2026,2026_1158,,ChatGPT
371,2026,2026_1159,,ChatGPT
372,2026,2026_5,,Claude
373,2026,2026_8,,Claude
374,2026,2026_10,Local LLMs via OpenCode,Claude
375,2026,2026_29,,Claude
376,2026,2026_34,,Claude
377,2026,2026_35,,Claude
378,2026,2026_41,,Claude
379,2026,2026_65,,Claude
380,2026,2026_66,,Claude
381,2026,2026_73,,Claude
382,2026,2026_93,claude code,Claude
383,2026,2026_102,,Claude
384,2026,2026_118,,Claude
385,2026,2026_121,,Claude
386,2026,2026_132,,Claude
387,2026,2026_133,,Claude
388,2026,2026_134,,Claude
389,2026,2026_135,,Claude
390,2026,2026_140,,Claude
391,2026,2026_143,,Claude
392,2026,2026_153,,Claude
393,2026,2026_170,,Claude
394,2026,2026_180,,Claude
395,2026,2026_185,"Qwen, Deepseek",Claude
396,2026,2026_187,,Claude
397,2026,2026_192,Mistral,Claude
398,2026,2026_196,,Claude
399,2026,2026_205,"Continue, OLlama",Claude
400,2026,2026_210,,Claude
401,2026,2026_211,,Claude
402,2026,2026_212,,Claude
403,2026,2026_215,,Claude
404,2026,2026_216,,Claude
405,2026,2026_217,,Claude
406,2026,2026_223,,Claude
407,2026,2026_228,,Claude
408,2026,2026_235,,Claude
409,2026,2026_236,,Claude
410,2026,2026_238,,Claude
411,2026,2026_240,,Claude
412,2026,2026_241,,Claude
413,2026,2026_244,,Claude
414,2026,2026_253,,Claude
415,2026,2026_268,,Claude
416,2026,2026_270,JetBrains AI,Claude
417,2026,2026_273,,Claude
418,2026,2026_281,,Claude
419,2026,2026_282,,Claude
420,2026,2026_289,Mistral vibe,Claude
421,2026,2026_290,,Claude
422,2026,2026_302,,Claude
423,2026,2026_304,,Claude
424,2026,2026_311,,Claude
425,2026,2026_312,,Claude
426,2026,2026_322,,Claude
427,2026,2026_325,,Claude
428,2026,2026_334,,Claude
429,2026,2026_343,,Claude
430,2026,2026_344,,Claude
431,2026,2026_350,,Claude
432,2026,2026_355,Perplexity,Claude
433,2026,2026_363,,Claude
434,2026,2026_364,,Claude
435,2026,2026_365,,Claude
436,2026,2026_369,,Claude
437,2026,2026_371,,Claude
438,2026,2026_381,,Claude
439,2026,2026_385,,Claude
440,2026,2026_396,,Claude
