,Year_0,row_id,org4nord[other]_0,org4nord
210,2026,2026_1093,Lobby for funding from funding agencies to invest in research software projects and maintenance of existing software projects,Community engagement and trainings
211,2026,2026_1101,,Community engagement and trainings
212,2026,2026_1110,,Community engagement and trainings
213,2026,2026_1113,,Community engagement and trainings
214,2026,2026_1116,,Community engagement and trainings
215,2026,2026_1124,,Community engagement and trainings
216,2026,2026_1125,,Community engagement and trainings
217,2026,2026_1128,,Community engagement and trainings
218,2026,2026_1132,,Community engagement and trainings
219,2026,2026_1159,,Community engagement and trainings
220,2026,2026_200,,Advocating for research software towards politicians and decision makers
221,2026,2026_296,,Advocating for research software towards politicians and decision makers
222,2026,2026_317,,Advocating for research software towards politicians and decision makers
223,2026,2026_330,,Advocating for research software towards politicians and decision makers
224,2026,2026_373,"Personal grants for RSE (fellowships, travel grants)",Advocating for research software towards politicians and decision makers
225,2026,2026_375,,Advocating for research software towards politicians and decision makers
226,2026,2026_377,,Advocating for research software towards politicians and decision makers
227,2026,2026_386,,Advocating for research software towards politicians and decision makers
228,2026,2026_388,,Advocating for research software towards politicians and decision makers
229,2026,2026_405,,Advocating for research software towards politicians and decision makers
230,2026,2026_407,,Advocating for research software towards politicians and decision makers
231,2026,2026_408,,Advocating for research software towards politicians and decision makers
232,2026,2026_415,,Advocating for research software towards politicians and decision makers
233,2026,2026_515,,Advocating for research software towards politicians and decision makers
234,2026,2026_543,,Advocating for research software towards politicians and decision makers
235,2026,2026_544,,Advocating for research software towards politicians and decision makers
236,2026,2026_545,,Advocating for research software towards politicians and decision makers
237,2026,2026_816,,Advocating for research software towards politicians and decision makers
238,2026,2026_929,,Advocating for research software towards politicians and decision makers
239,2026,2026_967,,Advocating for research software towards politicians and decision makers
240,2026,2026_968,,Advocating for research software towards politicians and decision makers
241,2026,2026_972,,Advocating for research software towards politicians and decision makers
242,2026,2026_975,,Advocating for research software towards politicians and decision makers
243,2026,2026_1012,,Advocating for research software towards politicians and decision makers
244,2026,2026_1039,,Advocating for research software towards politicians and decision makers
245,2026,2026_1057,,Advocating for research software towards politicians and decision makers
246,2026,2026_1069,,Advocating for research software towards politicians and decision makers
247,2026,2026_1070,,Advocating for research software towards politicians and decision makers
248,2026,2026_1071,,Advocating for research software towards politicians and decision makers
249,2026,2026_1072,,Advocating for research software towards politicians and decision makers
250,2026,2026_1073,,Advocating for research software towards politicians and decision makers
251,2026,2026_1075,,Advocating for research software towards politicians and decision makers
252,2026,2026_1079,,Advocating for research software towards politicians and decision makers
253,2026,2026_1080,,Advocating for research software towards politicians and decision makers
254,2026,2026_1081,,Advocating for research software towards politicians and decision makers
255,2026,2026_1086,,Advocating for research software towards politicians and decision makers
256,2026,2026_1088,,Advocating for research software towards politicians and decision makers
257,2026,2026_1093,Lobby for funding from funding agencies to invest in research software projects and maintenance of existing software projects,Advocating for research software towards politicians and decision makers
258,2026,2026_1110,,Advocating for research software towards politicians and decision makers
259,2026,2026_1116,,Advocating for research software towards politicians and decision makers
260,2026,2026_1117,,Advocating for research software towards politicians and decision makers
261,2026,2026_1124,,Advocating for research software towards politicians and decision makers
262,2026,2026_1125,,Advocating for research software towards politicians and decision makers
263,2026,2026_1128,,Advocating for research software towards politicians and decision makers
264,2026,2026_1132,,Advocating for research software towards politicians and decision makers
265,2026,2026_1134,,Advocating for research software towards politicians and decision makers
266,2026,2026_1159,,Advocating for research software towards politicians and decision makers
267,2026,2026_289,,Promotion of career paths in the RSE field
268,2026,2026_296,,Promotion of career paths in the RSE field
269,2026,2026_317,,Promotion of career paths in the RSE field
270,2026,2026_330,,Promotion of career paths in the RSE field
271,2026,2026_373,"Personal grants for RSE (fellowships, travel grants)",Promotion of career paths in the RSE field
272,2026,2026_375,,Promotion of career paths in the RSE field
273,2026,2026_377,,Promotion of career paths in the RSE field
274,2026,2026_388,,Promotion of career paths in the RSE field
275,2026,2026_405,,Promotion of career paths in the RSE field
276,2026,2026_407,,Promotion of career paths in the RSE field
277,2026,2026_408,,Promotion of career paths in the RSE field
278,2026,2026_513,,Promotion of career paths in the RSE field
279,2026,2026_517,,Promotion of career paths in the RSE field
280,2026,2026_543,,Promotion of career paths in the RSE field
281,2026,2026_544,,Promotion of career paths in the RSE field
282,2026,2026_545,,Promotion of career paths in the RSE field
283,2026,2026_816,,Promotion of career paths in the RSE field
284,2026,2026_910,,Promotion of career paths in the RSE field
285,2026,2026_914,,Promotion of career paths in the RSE field
286,2026,2026_929,,Promotion of career paths in the RSE field
287,2026,2026_967,,Promotion of career paths in the RSE field
288,2026,2026_968,,Promotion of career paths in the RSE field
289,2026,2026_972,,Promotion of career paths in the RSE field
290,2026,2026_1012,,Promotion of career paths in the RSE field
291,2026,2026_1013,,Promotion of career paths in the RSE field
292,2026,2026_1031,,Promotion of career paths in the RSE field
293,2026,2026_1039,,Promotion of career paths in the RSE field
