,Year_0,row_id,variable,paper2
372,2026,2026_372,Not mentioned at all,1.0
373,2026,2026_373,Not mentioned at all,1.0
376,2026,2026_376,Not mentioned at all,4.0
377,2026,2026_377,Not mentioned at all,1.0
378,2026,2026_378,Not mentioned at all,1.0
381,2026,2026_381,Not mentioned at all,2.0
382,2026,2026_382,Not mentioned at all,1.0
385,2026,2026_385,Not mentioned at all,1.0
387,2026,2026_387,Not mentioned at all,3.0
389,2026,2026_389,Not mentioned at all,5.0
390,2026,2026_390,Not mentioned at all,1.0
391,2026,2026_391,Not mentioned at all,3.0
393,2026,2026_393,Not mentioned at all,2.0
394,2026,2026_394,Not mentioned at all,4.0
395,2026,2026_395,Not mentioned at all,1.0
396,2026,2026_396,Not mentioned at all,3.0
397,2026,2026_397,Not mentioned at all,5.0
403,2026,2026_403,Not mentioned at all,5.0
405,2026,2026_405,Not mentioned at all,3.0
408,2026,2026_408,Not mentioned at all,3.0
411,2026,2026_411,Not mentioned at all,2.0
412,2026,2026_412,Not mentioned at all,3.0
413,2026,2026_413,Not mentioned at all,3.0
414,2026,2026_414,Not mentioned at all,1.0
415,2026,2026_415,Not mentioned at all,5.0
418,2026,2026_418,Not mentioned at all,4.0
421,2026,2026_421,Not mentioned at all,4.0
426,2026,2026_426,Not mentioned at all,3.0
427,2026,2026_427,Not mentioned at all,3.0
430,2026,2026_430,Not mentioned at all,1.0
431,2026,2026_431,Not mentioned at all,3.0
434,2026,2026_434,Not mentioned at all,3.0
436,2026,2026_436,Not mentioned at all,2.0
437,2026,2026_437,Not mentioned at all,3.0
440,2026,2026_440,Not mentioned at all,1.0
441,2026,2026_441,Not mentioned at all,2.0
442,2026,2026_442,Not mentioned at all,4.0
445,2026,2026_445,Not mentioned at all,3.0
446,2026,2026_446,Not mentioned at all,5.0
448,2026,2026_448,Not mentioned at all,1.0
453,2026,2026_453,Not mentioned at all,1.0
455,2026,2026_455,Not mentioned at all,3.0
456,2026,2026_456,Not mentioned at all,3.0
458,2026,2026_458,Not mentioned at all,3.0
460,2026,2026_460,Not mentioned at all,3.0
461,2026,2026_461,Not mentioned at all,3.0
466,2026,2026_466,Not mentioned at all,3.0
467,2026,2026_467,Not mentioned at all,1.0
468,2026,2026_468,Not mentioned at all,5.0
470,2026,2026_470,Not mentioned at all,5.0
472,2026,2026_472,Not mentioned at all,1.0
474,2026,2026_474,Not mentioned at all,1.0
475,2026,2026_475,Not mentioned at all,3.0
476,2026,2026_476,Not mentioned at all,4.0
479,2026,2026_479,Not mentioned at all,2.0
481,2026,2026_481,Not mentioned at all,4.0
482,2026,2026_482,Not mentioned at all,3.0
483,2026,2026_483,Not mentioned at all,3.0
486,2026,2026_486,Not mentioned at all,2.0
487,2026,2026_487,Not mentioned at all,1.0
489,2026,2026_489,Not mentioned at all,1.0
494,2026,2026_494,Not mentioned at all,3.0
496,2026,2026_496,Not mentioned at all,3.0
503,2026,2026_503,Not mentioned at all,2.0
504,2026,2026_504,Not mentioned at all,3.0
510,2026,2026_510,Not mentioned at all,2.0
511,2026,2026_511,Not mentioned at all,1.0
514,2026,2026_514,Not mentioned at all,3.0
516,2026,2026_516,Not mentioned at all,5.0
517,2026,2026_517,Not mentioned at all,3.0
520,2026,2026_520,Not mentioned at all,1.0
521,2026,2026_521,Not mentioned at all,2.0
522,2026,2026_522,Not mentioned at all,1.0
531,2026,2026_531,Not mentioned at all,2.0
533,2026,2026_533,Not mentioned at all,1.0
534,2026,2026_534,Not mentioned at all,3.0
537,2026,2026_537,Not mentioned at all,3.0
538,2026,2026_538,Not mentioned at all,5.0
539,2026,2026_539,Not mentioned at all,1.0
541,2026,2026_541,Not mentioned at all,3.0
542,2026,2026_542,Not mentioned at all,1.0
544,2026,2026_544,Not mentioned at all,1.0
547,2026,2026_547,Not mentioned at all,3.0
549,2026,2026_549,Not mentioned at all,1.0
550,2026,2026_550,Not mentioned at all,1.0
552,2026,2026_552,Not mentioned at all,4.0
554,2026,2026_554,Not mentioned at all,3.0
557,2026,2026_557,Not mentioned at all,3.0
558,2026,2026_558,Not mentioned at all,1.0
571,2026,2026_571,Not mentioned at all,4.0
577,2026,2026_577,Not mentioned at all,1.0
582,2026,2026_582,Not mentioned at all,3.0
584,2026,2026_584,Not mentioned at all,4.0
589,2026,2026_589,Not mentioned at all,1.0
590,2026,2026_590,Not mentioned at all,1.0
593,2026,2026_593,Not mentioned at all,1.0
596,2026,2026_596,Not mentioned at all,5.0
600,2026,2026_600,Not mentioned at all,4.0
603,2026,2026_603,Not mentioned at all,4.0
604,2026,2026_604,Not mentioned at all,3.0
606,2026,2026_606,Not mentioned at all,4.0
612,2026,2026_612,Not mentioned at all,2.0
616,2026,2026_616,Not mentioned at all,3.0
617,2026,2026_617,Not mentioned at all,1.0
622,2026,2026_622,Not mentioned at all,5.0
628,2026,2026_628,Not mentioned at all,3.0
629,2026,2026_629,Not mentioned at all,3.0
644,2026,2026_644,Not mentioned at all,3.0
649,2026,2026_649,Not mentioned at all,3.0
652,2026,2026_652,Not mentioned at all,2.0
653,2026,2026_653,Not mentioned at all,3.0
654,2026,2026_654,Not mentioned at all,3.0
655,2026,2026_655,Not mentioned at all,3.0
657,2026,2026_657,Not mentioned at all,5.0
662,2026,2026_662,Not mentioned at all,5.0
663,2026,2026_663,Not mentioned at all,1.0
664,2026,2026_664,Not mentioned at all,4.0
666,2026,2026_666,Not mentioned at all,2.0
668,2026,2026_668,Not mentioned at all,1.0
671,2026,2026_671,Not mentioned at all,1.0
672,2026,2026_672,Not mentioned at all,1.0
675,2026,2026_675,Not mentioned at all,4.0
677,2026,2026_677,Not mentioned at all,2.0
678,2026,2026_678,Not mentioned at all,3.0
680,2026,2026_680,Not mentioned at all,4.0
684,2026,2026_684,Not mentioned at all,3.0
685,2026,2026_685,Not mentioned at all,1.0
688,2026,2026_688,Not mentioned at all,3.0
689,2026,2026_689,Not mentioned at all,4.0
691,2026,2026_691,Not mentioned at all,3.0
694,2026,2026_694,Not mentioned at all,1.0
696,2026,2026_696,Not mentioned at all,4.0
697,2026,2026_697,Not mentioned at all,2.0
698,2026,2026_698,Not mentioned at all,3.0
700,2026,2026_700,Not mentioned at all,3.0
701,2026,2026_701,Not mentioned at all,3.0
704,2026,2026_704,Not mentioned at all,3.0
711,2026,2026_711,Not mentioned at all,5.0
713,2026,2026_713,Not mentioned at all,5.0
716,2026,2026_716,Not mentioned at all,3.0
718,2026,2026_718,Not mentioned at all,1.0
721,2026,2026_721,Not mentioned at all,5.0
722,2026,2026_722,Not mentioned at all,3.0
723,2026,2026_723,Not mentioned at all,4.0
724,2026,2026_724,Not mentioned at all,3.0
728,2026,2026_728,Not mentioned at all,5.0
730,2026,2026_730,Not mentioned at all,3.0
731,2026,2026_731,Not mentioned at all,1.0
732,2026,2026_732,Not mentioned at all,2.0
736,2026,2026_736,Not mentioned at all,2.0
737,2026,2026_737,Not mentioned at all,1.0
740,2026,2026_740,Not mentioned at all,3.0
741,2026,2026_741,Not mentioned at all,4.0
744,2026,2026_744,Not mentioned at all,5.0
746,2026,2026_746,Not mentioned at all,1.0
747,2026,2026_747,Not mentioned at all,3.0
748,2026,2026_748,Not mentioned at all,5.0
749,2026,2026_749,Not mentioned at all,2.0
750,2026,2026_750,Not mentioned at all,1.0
751,2026,2026_751,Not mentioned at all,1.0
756,2026,2026_756,Not mentioned at all,5.0
758,2026,2026_758,Not mentioned at all,1.0
761,2026,2026_761,Not mentioned at all,2.0
762,2026,2026_762,Not mentioned at all,1.0
765,2026,2026_765,Not mentioned at all,5.0
768,2026,2026_768,Not mentioned at all,1.0
770,2026,2026_770,Not mentioned at all,3.0
776,2026,2026_776,Not mentioned at all,3.0
779,2026,2026_779,Not mentioned at all,3.0
781,2026,2026_781,Not mentioned at all,4.0
782,2026,2026_782,Not mentioned at all,3.0
784,2026,2026_784,Not mentioned at all,5.0
785,2026,2026_785,Not mentioned at all,4.0
787,2026,2026_787,Not mentioned at all,3.0
788,2026,2026_788,Not mentioned at all,3.0
797,2026,2026_797,Not mentioned at all,1.0
802,2026,2026_802,Not mentioned at all,3.0
804,2026,2026_804,Not mentioned at all,2.0
811,2026,2026_811,Not mentioned at all,5.0
812,2026,2026_812,Not mentioned at all,1.0
817,2026,2026_817,Not mentioned at all,3.0
818,2026,2026_818,Not mentioned at all,1.0
820,2026,2026_820,Not mentioned at all,2.0
821,2026,2026_821,Not mentioned at all,2.0
822,2026,2026_822,Not mentioned at all,5.0
823,2026,2026_823,Not mentioned at all,2.0
826,2026,2026_826,Not mentioned at all,3.0
829,2026,2026_829,Not mentioned at all,3.0
831,2026,2026_831,Not mentioned at all,2.0
836,2026,2026_836,Not mentioned at all,3.0
838,2026,2026_838,Not mentioned at all,1.0
840,2026,2026_840,Not mentioned at all,1.0
841,2026,2026_841,Not mentioned at all,1.0
842,2026,2026_842,Not mentioned at all,1.0
844,2026,2026_844,Not mentioned at all,1.0
845,2026,2026_845,Not mentioned at all,1.0
846,2026,2026_846,Not mentioned at all,5.0
850,2026,2026_850,Not mentioned at all,3.0
854,2026,2026_854,Not mentioned at all,3.0
856,2026,2026_856,Not mentioned at all,3.0
857,2026,2026_857,Not mentioned at all,1.0
859,2026,2026_859,Not mentioned at all,3.0
861,2026,2026_861,Not mentioned at all,1.0
864,2026,2026_864,Not mentioned at all,1.0
867,2026,2026_867,Not mentioned at all,5.0
868,2026,2026_868,Not mentioned at all,3.0
869,2026,2026_869,Not mentioned at all,1.0
870,2026,2026_870,Not mentioned at all,3.0
871,2026,2026_871,Not mentioned at all,1.0
873,2026,2026_873,Not mentioned at all,5.0
874,2026,2026_874,Not mentioned at all,2.0
875,2026,2026_875,Not mentioned at all,1.0
876,2026,2026_876,Not mentioned at all,1.0
877,2026,2026_877,Not mentioned at all,2.0
878,2026,2026_878,Not mentioned at all,1.0
880,2026,2026_880,Not mentioned at all,3.0
881,2026,2026_881,Not mentioned at all,2.0
882,2026,2026_882,Not mentioned at all,3.0
884,2026,2026_884,Not mentioned at all,5.0
885,2026,2026_885,Not mentioned at all,1.0
887,2026,2026_887,Not mentioned at all,5.0
891,2026,2026_891,Not mentioned at all,2.0
892,2026,2026_892,Not mentioned at all,3.0
893,2026,2026_893,Not mentioned at all,3.0
894,2026,2026_894,Not mentioned at all,1.0
895,2026,2026_895,Not mentioned at all,3.0
896,2026,2026_896,Not mentioned at all,2.0
898,2026,2026_898,Not mentioned at all,1.0
901,2026,2026_901,Not mentioned at all,2.0
902,2026,2026_902,Not mentioned at all,1.0
903,2026,2026_903,Not mentioned at all,1.0
905,2026,2026_905,Not mentioned at all,5.0
906,2026,2026_906,Not mentioned at all,3.0
907,2026,2026_907,Not mentioned at all,3.0
909,2026,2026_909,Not mentioned at all,3.0
910,2026,2026_910,Not mentioned at all,1.0
920,2026,2026_920,Not mentioned at all,3.0
923,2026,2026_923,Not mentioned at all,1.0
924,2026,2026_924,Not mentioned at all,4.0
925,2026,2026_925,Not mentioned at all,1.0
926,2026,2026_926,Not mentioned at all,1.0
927,2026,2026_927,Not mentioned at all,3.0
928,2026,2026_928,Not mentioned at all,4.0
929,2026,2026_929,Not mentioned at all,1.0
930,2026,2026_930,Not mentioned at all,2.0
931,2026,2026_931,Not mentioned at all,3.0
932,2026,2026_932,Not mentioned at all,1.0
934,2026,2026_934,Not mentioned at all,2.0
937,2026,2026_937,Not mentioned at all,4.0
939,2026,2026_939,Not mentioned at all,4.0
940,2026,2026_940,Not mentioned at all,1.0
942,2026,2026_942,Not mentioned at all,1.0
944,2026,2026_944,Not mentioned at all,4.0
947,2026,2026_947,Not mentioned at all,2.0
948,2026,2026_948,Not mentioned at all,2.0
949,2026,2026_949,Not mentioned at all,3.0
951,2026,2026_951,Not mentioned at all,5.0
953,2026,2026_953,Not mentioned at all,3.0
954,2026,2026_954,Not mentioned at all,3.0
956,2026,2026_956,Not mentioned at all,1.0
959,2026,2026_959,Not mentioned at all,5.0
960,2026,2026_960,Not mentioned at all,1.0
964,2026,2026_964,Not mentioned at all,3.0
969,2026,2026_969,Not mentioned at all,3.0
971,2026,2026_971,Not mentioned at all,1.0
973,2026,2026_973,Not mentioned at all,4.0
978,2026,2026_978,Not mentioned at all,1.0
979,2026,2026_979,Not mentioned at all,3.0
980,2026,2026_980,Not mentioned at all,3.0
981,2026,2026_981,Not mentioned at all,1.0
982,2026,2026_982,Not mentioned at all,2.0
986,2026,2026_986,Not mentioned at all,4.0
987,2026,2026_987,Not mentioned at all,3.0
991,2026,2026_991,Not mentioned at all,3.0
1001,2026,2026_1001,Not mentioned at all,2.0
1002,2026,2026_1002,Not mentioned at all,1.0
1007,2026,2026_1007,Not mentioned at all,1.0
1008,2026,2026_1008,Not mentioned at all,4.0
1009,2026,2026_1009,Not mentioned at all,2.0
1010,2026,2026_1010,Not mentioned at all,2.0
1011,2026,2026_1011,Not mentioned at all,5.0
1014,2026,2026_1014,Not mentioned at all,1.0
1016,2026,2026_1016,Not mentioned at all,1.0
1018,2026,2026_1018,Not mentioned at all,1.0
1019,2026,2026_1019,Not mentioned at all,2.0
1023,2026,2026_1023,Not mentioned at all,4.0
1027,2026,2026_1027,Not mentioned at all,2.0
1028,2026,2026_1028,Not mentioned at all,2.0
1030,2026,2026_1030,Not mentioned at all,4.0
1031,2026,2026_1031,Not mentioned at all,1.0
1034,2026,2026_1034,Not mentioned at all,1.0
1035,2026,2026_1035,Not mentioned at all,1.0
1038,2026,2026_1038,Not mentioned at all,3.0
1040,2026,2026_1040,Not mentioned at all,1.0
1042,2026,2026_1042,Not mentioned at all,1.0
1043,2026,2026_1043,Not mentioned at all,2.0
1045,2026,2026_1045,Not mentioned at all,3.0
1046,2026,2026_1046,Not mentioned at all,4.0
1047,2026,2026_1047,Not mentioned at all,1.0
1048,2026,2026_1048,Not mentioned at all,3.0
1050,2026,2026_1050,Not mentioned at all,3.0
1052,2026,2026_1052,Not mentioned at all,4.0
1055,2026,2026_1055,Not mentioned at all,1.0
1058,2026,2026_1058,Not mentioned at all,3.0
1065,2026,2026_1065,Not mentioned at all,2.0
1068,2026,2026_1068,Not mentioned at all,3.0
1069,2026,2026_1069,Not mentioned at all,2.0
1070,2026,2026_1070,Not mentioned at all,2.0
1071,2026,2026_1071,Not mentioned at all,1.0
1073,2026,2026_1073,Not mentioned at all,1.0
1075,2026,2026_1075,Not mentioned at all,4.0
1078,2026,2026_1078,Not mentioned at all,3.0
1079,2026,2026_1079,Not mentioned at all,3.0
1080,2026,2026_1080,Not mentioned at all,3.0
1081,2026,2026_1081,Not mentioned at all,2.0
1083,2026,2026_1083,Not mentioned at all,4.0
1086,2026,2026_1086,Not mentioned at all,1.0
1088,2026,2026_1088,Not mentioned at all,1.0
1091,2026,2026_1091,Not mentioned at all,1.0
1093,2026,2026_1093,Not mentioned at all,4.0
1094,2026,2026_1094,Not mentioned at all,1.0
1099,2026,2026_1099,Not mentioned at all,5.0
1101,2026,2026_1101,Not mentioned at all,1.0
1103,2026,2026_1103,Not mentioned at all,5.0
1104,2026,2026_1104,Not mentioned at all,3.0
1109,2026,2026_1109,Not mentioned at all,5.0
1110,2026,2026_1110,Not mentioned at all,1.0
1112,2026,2026_1112,Not mentioned at all,1.0
1113,2026,2026_1113,Not mentioned at all,3.0
1114,2026,2026_1114,Not mentioned at all,3.0
1115,2026,2026_1115,Not mentioned at all,4.0
1116,2026,2026_1116,Not mentioned at all,1.0
1117,2026,2026_1117,Not mentioned at all,1.0
1121,2026,2026_1121,Not mentioned at all,3.0
1124,2026,2026_1124,Not mentioned at all,2.0
1125,2026,2026_1125,Not mentioned at all,1.0
1126,2026,2026_1126,Not mentioned at all,4.0
1127,2026,2026_1127,Not mentioned at all,1.0
1128,2026,2026_1128,Not mentioned at all,4.0
1129,2026,2026_1129,Not mentioned at all,4.0
1130,2026,2026_1130,Not mentioned at all,3.0
1131,2026,2026_1131,Not mentioned at all,4.0
1132,2026,2026_1132,Not mentioned at all,1.0
1133,2026,2026_1133,Not mentioned at all,1.0
1135,2026,2026_1135,Not mentioned at all,2.0
1136,2026,2026_1136,Not mentioned at all,5.0
1137,2026,2026_1137,Not mentioned at all,2.0
1140,2026,2026_1140,Not mentioned at all,5.0
1141,2026,2026_1141,Not mentioned at all,3.0
1142,2026,2026_1142,Not mentioned at all,3.0
1143,2026,2026_1143,Not mentioned at all,4.0
1144,2026,2026_1144,Not mentioned at all,1.0
1147,2026,2026_1147,Not mentioned at all,1.0
1148,2026,2026_1148,Not mentioned at all,3.0
1149,2026,2026_1149,Not mentioned at all,4.0
1152,2026,2026_1152,Not mentioned at all,2.0
1155,2026,2026_1155,Not mentioned at all,2.0
1156,2026,2026_1156,Not mentioned at all,4.0
1157,2026,2026_1157,Not mentioned at all,1.0
1158,2026,2026_1158,Not mentioned at all,3.0
1159,2026,2026_1159,Not mentioned at all,3.0
1162,2026,2026_1162,Not mentioned at all,2.0
1167,2026,2026_3,Acknowledged in the main text,3.0
1172,2026,2026_8,Acknowledged in the main text,1.0
1173,2026,2026_9,Acknowledged in the main text,1.0
1174,2026,2026_10,Acknowledged in the main text,3.0
1175,2026,2026_11,Acknowledged in the main text,1.0
1176,2026,2026_12,Acknowledged in the main text,2.0
1179,2026,2026_15,Acknowledged in the main text,4.0
1180,2026,2026_16,Acknowledged in the main text,1.0
1182,2026,2026_18,Acknowledged in the main text,3.0
1187,2026,2026_23,Acknowledged in the main text,2.0
1188,2026,2026_24,Acknowledged in the main text,1.0
1191,2026,2026_27,Acknowledged in the main text,3.0
1193,2026,2026_29,Acknowledged in the main text,3.0
1194,2026,2026_30,Acknowledged in the main text,2.0
1198,2026,2026_34,Acknowledged in the main text,3.0
1199,2026,2026_35,Acknowledged in the main text,1.0
1203,2026,2026_39,Acknowledged in the main text,4.0
1204,2026,2026_40,Acknowledged in the main text,5.0
1205,2026,2026_41,Acknowledged in the main text,1.0
1209,2026,2026_45,Acknowledged in the main text,3.0
1210,2026,2026_46,Acknowledged in the main text,3.0
1211,2026,2026_47,Acknowledged in the main text,1.0
1213,2026,2026_49,Acknowledged in the main text,1.0
1215,2026,2026_51,Acknowledged in the main text,1.0
1218,2026,2026_54,Acknowledged in the main text,3.0
1220,2026,2026_56,Acknowledged in the main text,3.0
1223,2026,2026_59,Acknowledged in the main text,1.0
1224,2026,2026_60,Acknowledged in the main text,1.0
1225,2026,2026_61,Acknowledged in the main text,1.0
1229,2026,2026_65,Acknowledged in the main text,2.0
1230,2026,2026_66,Acknowledged in the main text,3.0
1231,2026,2026_67,Acknowledged in the main text,4.0
1232,2026,2026_68,Acknowledged in the main text,1.0
1234,2026,2026_70,Acknowledged in the main text,1.0
1245,2026,2026_81,Acknowledged in the main text,1.0
1246,2026,2026_82,Acknowledged in the main text,2.0
1247,2026,2026_83,Acknowledged in the main text,4.0
1250,2026,2026_86,Acknowledged in the main text,3.0
1251,2026,2026_87,Acknowledged in the main text,3.0
1252,2026,2026_88,Acknowledged in the main text,5.0
1253,2026,2026_89,Acknowledged in the main text,1.0
1254,2026,2026_90,Acknowledged in the main text,1.0
1256,2026,2026_92,Acknowledged in the main text,1.0
1257,2026,2026_93,Acknowledged in the main text,1.0
