,Year_0,row_id,fund3[other]_0,fund3
167,2026,2026_422,,Institutional support (centrally funded)
168,2026,2026_427,,Institutional support (centrally funded)
169,2026,2026_430,,Institutional support (centrally funded)
170,2026,2026_431,,Institutional support (centrally funded)
171,2026,2026_433,,Institutional support (centrally funded)
172,2026,2026_434,,Institutional support (centrally funded)
173,2026,2026_440,,Institutional support (centrally funded)
174,2026,2026_441,,Institutional support (centrally funded)
175,2026,2026_442,,Institutional support (centrally funded)
176,2026,2026_443,,Institutional support (centrally funded)
177,2026,2026_445,,Institutional support (centrally funded)
178,2026,2026_451,,Institutional support (centrally funded)
179,2026,2026_452,,Institutional support (centrally funded)
180,2026,2026_453,,Institutional support (centrally funded)
181,2026,2026_461,,Institutional support (centrally funded)
182,2026,2026_466,,Institutional support (centrally funded)
183,2026,2026_468,,Institutional support (centrally funded)
184,2026,2026_469,,Institutional support (centrally funded)
185,2026,2026_472,,Institutional support (centrally funded)
186,2026,2026_475,,Institutional support (centrally funded)
187,2026,2026_476,,Institutional support (centrally funded)
188,2026,2026_479,,Institutional support (centrally funded)
189,2026,2026_483,,Institutional support (centrally funded)
190,2026,2026_484,,Institutional support (centrally funded)
191,2026,2026_485,,Institutional support (centrally funded)
192,2026,2026_486,,Institutional support (centrally funded)
193,2026,2026_487,,Institutional support (centrally funded)
194,2026,2026_489,,Institutional support (centrally funded)
195,2026,2026_494,,Institutional support (centrally funded)
196,2026,2026_496,,Institutional support (centrally funded)
197,2026,2026_498,,Institutional support (centrally funded)
198,2026,2026_501,,Institutional support (centrally funded)
199,2026,2026_504,,Institutional support (centrally funded)
200,2026,2026_511,,Institutional support (centrally funded)
201,2026,2026_512,,Institutional support (centrally funded)
202,2026,2026_514,,Institutional support (centrally funded)
203,2026,2026_515,,Institutional support (centrally funded)
204,2026,2026_517,,Institutional support (centrally funded)
205,2026,2026_521,,Institutional support (centrally funded)
206,2026,2026_523,,Institutional support (centrally funded)
207,2026,2026_531,,Institutional support (centrally funded)
208,2026,2026_533,,Institutional support (centrally funded)
209,2026,2026_534,,Institutional support (centrally funded)
210,2026,2026_537,,Institutional support (centrally funded)
211,2026,2026_539,,Institutional support (centrally funded)
212,2026,2026_541,,Institutional support (centrally funded)
213,2026,2026_542,,Institutional support (centrally funded)
214,2026,2026_543,,Institutional support (centrally funded)
215,2026,2026_544,,Institutional support (centrally funded)
216,2026,2026_546,,Institutional support (centrally funded)
217,2026,2026_547,,Institutional support (centrally funded)
218,2026,2026_549,,Institutional support (centrally funded)
219,2026,2026_554,,Institutional support (centrally funded)
220,2026,2026_570,,Institutional support (centrally funded)
221,2026,2026_571,,Institutional support (centrally funded)
222,2026,2026_572,,Institutional support (centrally funded)
223,2026,2026_573,,Institutional support (centrally funded)
224,2026,2026_582,,Institutional support (centrally funded)
225,2026,2026_584,,Institutional support (centrally funded)
226,2026,2026_589,,Institutional support (centrally funded)
227,2026,2026_593,,Institutional support (centrally funded)
228,2026,2026_600,,Institutional support (centrally funded)
229,2026,2026_603,,Institutional support (centrally funded)
230,2026,2026_604,,Institutional support (centrally funded)
231,2026,2026_612,,Institutional support (centrally funded)
232,2026,2026_613,,Institutional support (centrally funded)
233,2026,2026_615,,Institutional support (centrally funded)
234,2026,2026_616,,Institutional support (centrally funded)
235,2026,2026_617,,Institutional support (centrally funded)
236,2026,2026_621,,Institutional support (centrally funded)
237,2026,2026_622,,Institutional support (centrally funded)
238,2026,2026_625,,Institutional support (centrally funded)
239,2026,2026_631,,Institutional support (centrally funded)
240,2026,2026_635,,Institutional support (centrally funded)
241,2026,2026_636,,Institutional support (centrally funded)
242,2026,2026_644,,Institutional support (centrally funded)
243,2026,2026_646,,Institutional support (centrally funded)
244,2026,2026_649,,Institutional support (centrally funded)
245,2026,2026_653,,Institutional support (centrally funded)
246,2026,2026_654,,Institutional support (centrally funded)
247,2026,2026_655,,Institutional support (centrally funded)
248,2026,2026_662,,Institutional support (centrally funded)
249,2026,2026_667,,Institutional support (centrally funded)
250,2026,2026_668,,Institutional support (centrally funded)
251,2026,2026_672,,Institutional support (centrally funded)
252,2026,2026_678,,Institutional support (centrally funded)
253,2026,2026_683,,Institutional support (centrally funded)
254,2026,2026_684,,Institutional support (centrally funded)
255,2026,2026_685,,Institutional support (centrally funded)
256,2026,2026_687,,Institutional support (centrally funded)
257,2026,2026_689,,Institutional support (centrally funded)
258,2026,2026_691,,Institutional support (centrally funded)
259,2026,2026_696,,Institutional support (centrally funded)
260,2026,2026_700,,Institutional support (centrally funded)
261,2026,2026_701,,Institutional support (centrally funded)
262,2026,2026_704,,Institutional support (centrally funded)
263,2026,2026_706,,Institutional support (centrally funded)
264,2026,2026_711,Private philanthropy,Institutional support (centrally funded)
265,2026,2026_713,,Institutional support (centrally funded)
266,2026,2026_715,,Institutional support (centrally funded)
267,2026,2026_716,,Institutional support (centrally funded)
268,2026,2026_718,,Institutional support (centrally funded)
269,2026,2026_722,,Institutional support (centrally funded)
270,2026,2026_724,,Institutional support (centrally funded)
271,2026,2026_727,,Institutional support (centrally funded)
272,2026,2026_730,,Institutional support (centrally funded)
273,2026,2026_736,,Institutional support (centrally funded)
274,2026,2026_740,,Institutional support (centrally funded)
275,2026,2026_741,,Institutional support (centrally funded)
276,2026,2026_748,,Institutional support (centrally funded)
277,2026,2026_749,,Institutional support (centrally funded)
278,2026,2026_750,,Institutional support (centrally funded)
279,2026,2026_751,,Institutional support (centrally funded)
280,2026,2026_753,,Institutional support (centrally funded)
281,2026,2026_758,,Institutional support (centrally funded)
282,2026,2026_759,,Institutional support (centrally funded)
283,2026,2026_761,,Institutional support (centrally funded)
284,2026,2026_765,,Institutional support (centrally funded)
285,2026,2026_768,,Institutional support (centrally funded)
286,2026,2026_769,,Institutional support (centrally funded)
287,2026,2026_770,,Institutional support (centrally funded)
288,2026,2026_773,,Institutional support (centrally funded)
289,2026,2026_775,,Institutional support (centrally funded)
290,2026,2026_779,,Institutional support (centrally funded)
291,2026,2026_781,,Institutional support (centrally funded)
292,2026,2026_784,,Institutional support (centrally funded)
293,2026,2026_785,,Institutional support (centrally funded)
294,2026,2026_786,,Institutional support (centrally funded)
295,2026,2026_788,,Institutional support (centrally funded)
296,2026,2026_790,,Institutional support (centrally funded)
297,2026,2026_791,,Institutional support (centrally funded)
298,2026,2026_792,,Institutional support (centrally funded)
299,2026,2026_793,,Institutional support (centrally funded)
300,2026,2026_797,,Institutional support (centrally funded)
301,2026,2026_805,,Institutional support (centrally funded)
302,2026,2026_806,,Institutional support (centrally funded)
303,2026,2026_810,,Institutional support (centrally funded)
304,2026,2026_811,,Institutional support (centrally funded)
305,2026,2026_812,,Institutional support (centrally funded)
306,2026,2026_815,,Institutional support (centrally funded)
307,2026,2026_816,,Institutional support (centrally funded)
308,2026,2026_817,,Institutional support (centrally funded)
309,2026,2026_820,,Institutional support (centrally funded)
310,2026,2026_822,,Institutional support (centrally funded)
311,2026,2026_826,,Institutional support (centrally funded)
312,2026,2026_834,,Institutional support (centrally funded)
313,2026,2026_835,,Institutional support (centrally funded)
314,2026,2026_836,,Institutional support (centrally funded)
315,2026,2026_838,,Institutional support (centrally funded)
316,2026,2026_840,,Institutional support (centrally funded)
317,2026,2026_842,,Institutional support (centrally funded)
318,2026,2026_845,,Institutional support (centrally funded)
319,2026,2026_846,,Institutional support (centrally funded)
320,2026,2026_854,,Institutional support (centrally funded)
321,2026,2026_856,,Institutional support (centrally funded)
322,2026,2026_857,,Institutional support (centrally funded)
323,2026,2026_867,,Institutional support (centrally funded)
324,2026,2026_868,,Institutional support (centrally funded)
325,2026,2026_869,,Institutional support (centrally funded)
326,2026,2026_873,,Institutional support (centrally funded)
327,2026,2026_874,,Institutional support (centrally funded)
328,2026,2026_875,,Institutional support (centrally funded)
329,2026,2026_876,,Institutional support (centrally funded)
330,2026,2026_877,,Institutional support (centrally funded)
331,2026,2026_878,,Institutional support (centrally funded)
332,2026,2026_880,,Institutional support (centrally funded)
333,2026,2026_881,,Institutional support (centrally funded)
334,2026,2026_883,,Institutional support (centrally funded)
335,2026,2026_885,,Institutional support (centrally funded)
336,2026,2026_887,,Institutional support (centrally funded)
337,2026,2026_897,,Institutional support (centrally funded)
338,2026,2026_898,,Institutional support (centrally funded)
339,2026,2026_901,,Institutional support (centrally funded)
340,2026,2026_903,,Institutional support (centrally funded)
341,2026,2026_906,,Institutional support (centrally funded)
342,2026,2026_907,,Institutional support (centrally funded)
343,2026,2026_909,,Institutional support (centrally funded)
344,2026,2026_910,,Institutional support (centrally funded)
345,2026,2026_914,,Institutional support (centrally funded)
346,2026,2026_920,,Institutional support (centrally funded)
347,2026,2026_947,,Institutional support (centrally funded)
348,2026,2026_953,,Institutional support (centrally funded)
349,2026,2026_955,,Institutional support (centrally funded)
350,2026,2026_960,,Institutional support (centrally funded)
351,2026,2026_963,,Institutional support (centrally funded)
352,2026,2026_967,,Institutional support (centrally funded)
353,2026,2026_968,,Institutional support (centrally funded)
354,2026,2026_973,,Institutional support (centrally funded)
355,2026,2026_975,,Institutional support (centrally funded)
356,2026,2026_978,,Institutional support (centrally funded)
357,2026,2026_979,,Institutional support (centrally funded)
358,2026,2026_982,,Institutional support (centrally funded)
359,2026,2026_986,,Institutional support (centrally funded)
360,2026,2026_987,,Institutional support (centrally funded)
361,2026,2026_991,,Institutional support (centrally funded)
362,2026,2026_992,,Institutional support (centrally funded)
363,2026,2026_998,,Institutional support (centrally funded)
364,2026,2026_1001,,Institutional support (centrally funded)
365,2026,2026_1002,,Institutional support (centrally funded)
366,2026,2026_1007,,Institutional support (centrally funded)
367,2026,2026_1010,,Institutional support (centrally funded)
368,2026,2026_1012,,Institutional support (centrally funded)
369,2026,2026_1016,,Institutional support (centrally funded)
370,2026,2026_1017,,Institutional support (centrally funded)
371,2026,2026_1018,,Institutional support (centrally funded)
372,2026,2026_1019,,Institutional support (centrally funded)
