,Year_0,row_id,open3de_0
486,2018,2018_459,zenodo
487,2018,2018_460,zenodo
499,2018,2018_472,zenodo
512,2018,2018_485,bibliothek vor ort
513,2018,2018_485,zenodo
516,2018,2018_488,zenodo
517,2018,2018_488,local library
528,2018,2018_498,osf
529,2018,2018_498,zenodo
530,2018,2018_499,local library
536,2018,2018_505,software vergibt selber dois
537,2018,2018_505,bibliothek vor ort
538,2018,2018_506,google
548,2018,2018_516,meine software mintet selbst
551,2018,2018_518,local library
554,2018,2018_521,zenodo
559,2018,2018_526,local library
563,2018,2018_530,zenodo
567,2018,2018_534,zenodo
624,2018,2018_590,figshare
630,2018,2018_596,zenodo
647,2018,2018_613,k. a.
650,2018,2018_616,zenodo
651,2018,2018_616,da|ra
658,2018,2018_623,zenodo
659,2018,2018_623,mpg.pure
666,2018,2018_630,csdms
668,2018,2018_632,zenodo
679,2018,2018_643,zenodo
684,2018,2018_648,local library
685,2018,2018_648,zenodo
691,2018,2018_654,zenodo
698,2018,2018_661,zenodo
704,2018,2018_667,zenodo
706,2018,2018_669,zenodo
709,2018,2018_672,zenodo
715,2018,2018_678,zenodo
718,2018,2018_681,local library
721,2018,2018_684,zenodo
723,2018,2018_686,handled by someone else in our organization
724,2018,2018_687,wrote my own in python
725,2018,2018_688,zenodo
726,2018,2018_689,ezid
729,2018,2018_692,zenodo
730,2018,2018_693,zenodo
734,2018,2018_697,zenodo
735,2018,2018_698,library
738,2018,2018_701,cyverse
743,2018,2018_706,zenodo
746,2018,2018_709,zenodo
752,2018,2018_714,zenodo
755,2018,2018_717,zenodo
757,2018,2018_719,zenodo
767,2018,2018_729,zenodo
769,2018,2018_731,figshare
771,2018,2018_731,mostly no doi
774,2018,2018_734,zenodo
786,2018,2018_746,zenodo
791,2018,2018_751,astrophysics source code library
792,2018,2018_752,zenodo
793,2018,2018_753,ascl
809,2018,2018_768,astrophysics source code library
811,2018,2018_770,ascl
821,2018,2018_780,library
822,2018,2018_781,zenodo
826,2018,2018_785,zenod
834,2018,2018_793,zenodo
839,2018,2018_798,zenodo
843,2018,2018_802,zenodo
844,2018,2018_802,astrophysics source code library
850,2018,2018_806,depending on deployment
864,2018,2018_820,zenodo
870,2018,2018_826,zenodo
871,2018,2018_827,zenodo
874,2018,2018_830,zenodo
878,2018,2018_834,zenodo
879,2018,2018_835,local library
883,2018,2018_839,zenodo
884,2018,2018_839,local library
885,2018,2018_840,zenodo
887,2018,2018_841,zenodo
893,2018,2018_847,zenodo
894,2018,2018_848,library
897,2018,2018_851,zenodo
900,2018,2018_854,zenodo
906,2018,2018_860,local
909,2018,2018_863,bibliothek vor ort
916,2018,2018_869,zenodo
921,2018,2018_874,zenodo
922,2018,2018_874,preprint services
925,2018,2018_877,zenodo
927,2018,2018_879,zenodo
928,2018,2018_879,ascl
934,2018,2018_885,zenodo
936,2018,2018_887,zenodo
937,2018,2018_888,zenodo
944,2018,2018_895,zenodo
945,2018,2018_896,zenodo
946,2018,2018_896,figshare
963,2018,2018_913,local library
975,2018,2018_925,zenodo
981,2018,2018_931,bibliothek
987,2018,2018_937,local library
988,2018,2018_938,zenodo
990,2018,2018_940,zenodo
992,2018,2018_942,local library
994,2018,2018_944,zenodo
996,2018,2018_946,zenodo
1002,2018,2018_951,bibliothek vor ort
1003,2018,2018_951,deutsches klimarechenzentrum
1006,2018,2018_954,bibliothek vor ort
1011,2018,2018_959,zenodo
1017,2018,2018_965,zenodo
1020,2018,2018_968,local library
1023,2018,2018_971,zenodo
1039,2018,2018_986,zenodo
1040,2018,2018_987,zenodo
