,Year_0,row_id,currentEmp13aus
250,2018,2018_982,10 Technology
251,2018,2018_7,11 Medical and Health Sciences
252,2018,2018_21,11 Medical and Health Sciences
253,2018,2018_25,11 Medical and Health Sciences
254,2018,2018_27,11 Medical and Health Sciences
255,2018,2018_31,11 Medical and Health Sciences
256,2018,2018_32,11 Medical and Health Sciences
257,2018,2018_47,11 Medical and Health Sciences
258,2018,2018_50,11 Medical and Health Sciences
259,2018,2018_59,11 Medical and Health Sciences
260,2018,2018_71,11 Medical and Health Sciences
261,2018,2018_73,11 Medical and Health Sciences
262,2018,2018_76,11 Medical and Health Sciences
263,2018,2018_78,11 Medical and Health Sciences
264,2018,2018_111,11 Medical and Health Sciences
265,2018,2018_112,11 Medical and Health Sciences
266,2018,2018_121,11 Medical and Health Sciences
267,2018,2018_122,11 Medical and Health Sciences
268,2018,2018_130,11 Medical and Health Sciences
269,2018,2018_318,11 Medical and Health Sciences
270,2018,2018_897,11 Medical and Health Sciences
271,2018,2018_913,11 Medical and Health Sciences
272,2018,2018_970,11 Medical and Health Sciences
273,2018,2018_972,11 Medical and Health Sciences
274,2018,2018_979,11 Medical and Health Sciences
275,2018,2018_970,12 Built Environment and Design
276,2018,2018_972,12 Built Environment and Design
277,2018,2018_7,13 Education
278,2018,2018_17,13 Education
279,2018,2018_21,13 Education
280,2018,2018_31,13 Education
281,2018,2018_73,13 Education
282,2018,2018_75,13 Education
283,2018,2018_122,13 Education
284,2018,2018_972,13 Education
285,2018,2018_973,13 Education
286,2018,2018_75,14 Economics
287,2018,2018_972,14 Economics
288,2018,2018_7,"15 Commerce, Management, Tourism and Services"
289,2018,2018_972,"15 Commerce, Management, Tourism and Services"
290,2018,2018_31,16 Studies in Human Society
291,2018,2018_55,16 Studies in Human Society
292,2018,2018_104,16 Studies in Human Society
293,2018,2018_972,16 Studies in Human Society
294,2018,2018_73,17 Psychology and Cognitive Sciences
295,2018,2018_318,17 Psychology and Cognitive Sciences
296,2018,2018_972,17 Psychology and Cognitive Sciences
297,2018,2018_972,18 Law and Legal Studies
