,Year_0,row_id,ukrse3_0,skill2_0
191,2018,2018_64,self-taught,learning how to sell the skills I've got
192,2018,2018_64,in-house training,learning how to sell the skills I've got
194,2018,2018_66,learning by doing (very little formal training),"Specifying a ""user interface"" (requirements of the Research Software in terms of functionality and operation) in terms that satisfy users' limited technical knowledge *and* developers' need for clarity of implementation (reducing ambiguity of specifications)"
195,2018,2018_66,learning by doing (very little formal training),improved documentation skills to reduce the need for additional (per-user) communication of features and operation procedures
196,2018,2018_66,learning by doing (very little formal training),standardization of RSE process w.r.t. coding
197,2018,2018_66,learning by doing (very little formal training),data processing
198,2018,2018_66,learning by doing (very little formal training),data storage
199,2018,2018_66,learning by doing (very little formal training),and dissemination
200,2018,2018_67,no formal training / just brute interest and learning as i go,Machine learning
201,2018,2018_67,no formal training / just brute interest and learning as i go,architecture
202,2018,2018_67,no formal training / just brute interest and learning as i go,design patterns
203,2018,2018_67,no formal training / just brute interest and learning as i go,time management
204,2018,2018_68,by being a software engineer.,lowering my expectations
205,2018,2018_68,by being a software engineer.,dealing with project incompetence
206,2018,2018_68,by being a software engineer.,putting up with lack of management skill
207,2018,2018_69,self-taught,
208,2018,2018_70,university,unsure
209,2018,2018_70,teaching,unsure
210,2018,2018_70,volunteering,unsure
211,2018,2018_70,job,unsure
212,2018,2018_71,still learning ;),software structure engineering
213,2018,2018_72,job,Working with databases
214,2018,2018_72,self-taught,Working with databases
215,2018,2018_72,job,being more organised
216,2018,2018_72,self-taught,being more organised
217,2018,2018_72,job,writing object oriented code.
218,2018,2018_72,self-taught,writing object oriented code.
219,2018,2018_73,university,
222,2018,2018_76,university,More HPC frameworks
223,2018,2018_76,job,More HPC frameworks
224,2018,2018_76,especially a decade with motorola,More HPC frameworks
225,2018,2018_76,university,especially GPU programming
226,2018,2018_76,university,domain specific knowledge (e.g. Bioinformatics)
227,2018,2018_76,job,especially GPU programming
228,2018,2018_76,job,domain specific knowledge (e.g. Bioinformatics)
229,2018,2018_76,especially a decade with motorola,especially GPU programming
230,2018,2018_76,especially a decade with motorola,domain specific knowledge (e.g. Bioinformatics)
231,2018,2018_77,job,Documenting scientific exploratory work (electronic lab book)
232,2018,2018_78,university,Software Packaging
233,2018,2018_78,university,Web Development
234,2018,2018_78,university,Profiling and Optimisation
235,2018,2018_79,self-taught,Product
236,2018,2018_79,self-taught,stakeholder management
237,2018,2018_79,running training,Product
238,2018,2018_79,running training,stakeholder management
239,2018,2018_79,job,Product
240,2018,2018_79,job,stakeholder management
241,2018,2018_79,self-taught,front end development
242,2018,2018_79,running training,front end development
243,2018,2018_79,job,front end development
244,2018,2018_79,self-taught,user experience
245,2018,2018_79,running training,user experience
246,2018,2018_79,job,user experience
247,2018,2018_80,university,
248,2018,2018_80,job,
249,2018,2018_81,coursera data science course,SQL
250,2018,2018_81,coursera data science course,python
251,2018,2018_81,coursera data science course,.net
252,2018,2018_82,job,Communication
253,2018,2018_82,job,Planning
254,2018,2018_82,job,Research reproducibility
255,2018,2018_83,self-taught,UX design
256,2018,2018_83,self-taught,advanced testing
257,2018,2018_83,self-taught,basic computer science skills
258,2018,2018_84,self-taught,Testing
259,2018,2018_84,self-taught,project management
260,2018,2018_84,self-taught,advanced skills in languages I use
261,2018,2018_85,university,Machine learning
262,2018,2018_85,job,Machine learning
263,2018,2018_85,university,AI
264,2018,2018_85,job,AI
265,2018,2018_85,university,Python
266,2018,2018_85,job,Python
267,2018,2018_86,job,machine learning
268,2018,2018_87,self-taught,Promotion of software to end users
269,2018,2018_87,self-taught,Translation of code among languages
270,2018,2018_87,self-taught,Building collaborative projects
271,2018,2018_88,job,
272,2018,2018_89,self-taught,Communication
273,2018,2018_89,self-taught,team coordination
274,2018,2018_90,self-taught,
276,2018,2018_92,self-taught,learn new programming languages
277,2018,2018_92,contribution to open source projects,learn new programming languages
278,2018,2018_92,self-taught,write better unit tests
279,2018,2018_92,contribution to open source projects,write better unit tests
280,2018,2018_93,university,knowledge of numerical methods
281,2018,2018_93,but mostly informal training,knowledge of numerical methods
282,2018,2018_93,self-taught,knowledge of numerical methods
283,2018,2018_93,university,knowledge of C
284,2018,2018_93,university,C++
285,2018,2018_93,but mostly informal training,knowledge of C
286,2018,2018_93,but mostly informal training,C++
287,2018,2018_93,self-taught,knowledge of C
288,2018,2018_93,self-taught,C++
289,2018,2018_93,university,knowledge of linear algebra
290,2018,2018_93,but mostly informal training,knowledge of linear algebra
291,2018,2018_93,self-taught,knowledge of linear algebra
292,2018,2018_94,curiosity driven,
294,2018,2018_96,self-taught,python
295,2018,2018_96,self-taught,c++
296,2018,2018_96,self-taught,
297,2018,2018_97,self-taught,contract negotation
298,2018,2018_97,self-taught,budget management
299,2018,2018_97,self-taught,distributed computing
300,2018,2018_98,self-taught,Testing
301,2018,2018_98,self-taught,marketing
302,2018,2018_98,self-taught,teaching
303,2018,2018_99,i am neither,
304,2018,2018_100,studium,
305,2018,2018_101,self-taught,
306,2018,2018_102,self-taught,programming
307,2018,2018_102,self-taught,software testing
308,2018,2018_102,self-taught,collaborative software development
309,2018,2018_103,job,data domain knowledge (eg. basic biology)
310,2018,2018_103,job,project management
311,2018,2018_103,job,sys admin
312,2018,2018_104,university,
313,2018,2018_105,self-taught,GPU computing
314,2018,2018_105,self-taught,Hybrid CPU-GPU parallelism
315,2018,2018_105,self-taught,Data Systems Engineering
316,2018,2018_106,job,Machine learning
319,2018,2018_109,university,
320,2018,2018_109,job,
322,2018,2018_111,self-taught,proper software engineering (as opposed to hacking)
323,2018,2018_111,self-taught,collaborative working ethics
324,2018,2018_111,self-taught,career strategic planning
325,2018,2018_112,job,
327,2018,2018_114,stackoverflow,Software Design
328,2018,2018_114,self-taught,Software Design
329,2018,2018_114,stackoverflow,Algorithms
330,2018,2018_114,self-taught,Algorithms
331,2018,2018_114,stackoverflow,Management Skills
332,2018,2018_114,self-taught,Management Skills
333,2018,2018_115,job,researcher needs
334,2018,2018_115,job,industry relationships
336,2018,2018_117,self-taught,
339,2018,2018_120,school of hard knocks,marketing statistics
340,2018,2018_121,self-taught,
341,2018,2018_121,practise,
342,2018,2018_122,self-taught,Business Analyst skills
343,2018,2018_122,self-taught,more general tech skills
346,2018,2018_125,self-taught,grasp of Python & R
347,2018,2018_125,university,grasp of Python & R
348,2018,2018_125,job,grasp of Python & R
349,2018,2018_125,self-taught,community building skills
350,2018,2018_125,university,community building skills
351,2018,2018_125,job,community building skills
352,2018,2018_125,self-taught,training skills (sorry
353,2018,2018_125,university,training skills (sorry
354,2018,2018_125,job,training skills (sorry
355,2018,2018_125,self-taught,that's four)
356,2018,2018_125,university,that's four)
357,2018,2018_125,job,that's four)
359,2018,2018_127,,testing
360,2018,2018_127,,pattern usage
361,2018,2018_128,self-taught,How to go about funding a good idea at a national lab when it's not scientific in nature.  How to build refactoring into a research software workflow.  How to use the force so I could convince people to do the right thing.
362,2018,2018_129,nicht-wissenschaftliche se; nebenaktivitäten auf einer stelle,UX
363,2018,2018_129,nicht-wissenschaftliche se; nebenaktivitäten auf einer stelle,UI Design
364,2018,2018_129,die eine digitale edition erarbeitet hat.,UX
365,2018,2018_129,die eine digitale edition erarbeitet hat.,UI Design
366,2018,2018_129,nicht-wissenschaftliche se; nebenaktivitäten auf einer stelle,Projektplanung
367,2018,2018_129,die eine digitale edition erarbeitet hat.,Projektplanung
368,2018,2018_130,job,small and agile project management
369,2018,2018_131,university,project management
370,2018,2018_131,selft-taught,project management
371,2018,2018_131,open source contributions,project management
372,2018,2018_131,conducting research & development,project management
373,2018,2018_131,university,Go (programming language)
374,2018,2018_131,selft-taught,Go (programming language)
375,2018,2018_131,open source contributions,Go (programming language)
376,2018,2018_131,conducting research & development,Go (programming language)
377,2018,2018_131,university,C++ (programming language)
378,2018,2018_131,selft-taught,C++ (programming language)
379,2018,2018_131,open source contributions,C++ (programming language)
380,2018,2018_131,conducting research & development,C++ (programming language)
382,2018,2018_133,humility,Training skills
383,2018,2018_134,self-taught,Agile development methodologies. User Experience Design. Python development for geo-spatial applications
384,2018,2018_135,university,I would like to improve my maths
385,2018,2018_135,self-taught,I would like to improve my maths
386,2018,2018_135,job,I would like to improve my maths
387,2018,2018_135,university,have a broader understanding of basic computer science (my background is biology) and have more time to write code in
388,2018,2018_135,self-taught,have a broader understanding of basic computer science (my background is biology) and have more time to write code in
389,2018,2018_135,job,have a broader understanding of basic computer science (my background is biology) and have more time to write code in
390,2018,2018_136,university,Mobile development
391,2018,2018_136,job,Mobile development
392,2018,2018_136,self-taught,Mobile development
393,2018,2018_136,paid and free courses,Mobile development
394,2018,2018_136,university,R
395,2018,2018_136,job,R
396,2018,2018_136,self-taught,R
397,2018,2018_136,paid and free courses,R
398,2018,2018_136,university,data visualisation skills
399,2018,2018_136,job,data visualisation skills
400,2018,2018_136,self-taught,data visualisation skills
401,2018,2018_136,paid and free courses,data visualisation skills
405,2018,2018_140,job,
407,2018,2018_142,osmosis,
408,2018,2018_142,self-taught,
409,2018,2018_142,self-taught,
411,2018,2018_144,to some extent,How to apply for funding
412,2018,2018_144,to some extent,Management skills
413,2018,2018_144,to some extent,New technologies and applications
414,2018,2018_144,job,How to apply for funding
415,2018,2018_144,job,Management skills
416,2018,2018_144,job,New technologies and applications
417,2018,2018_144,but with various training in places in subjects like hpc,How to apply for funding
418,2018,2018_144,but with various training in places in subjects like hpc,Management skills
419,2018,2018_144,but with various training in places in subjects like hpc,New technologies and applications
420,2018,2018_144,version control,How to apply for funding
421,2018,2018_144,version control,Management skills
422,2018,2018_144,version control,New technologies and applications
423,2018,2018_144,and so on as required.,How to apply for funding
424,2018,2018_144,and so on as required.,Management skills
425,2018,2018_144,and so on as required.,New technologies and applications
426,2018,2018_145,self-taught,"Ability to get our organisation to recognise our contribution to research and to core fund the team rather than leave us living ""hand to mouth"" with grant funding."
427,2018,2018_146,self-taught,Unit testing
428,2018,2018_146,self-taught,more NumPy magic.
429,2018,2018_147,self-taught,
430,2018,2018_148,university,Modern software engineering methodologies
431,2018,2018_148,four years as a commercial programmer followed by a masters in oceanography,Modern software engineering methodologies
432,2018,2018_148,university,Improvement to my skills in C
433,2018,2018_148,four years as a commercial programmer followed by a masters in oceanography,Improvement to my skills in C
434,2018,2018_148,university,Research grant proposal writing
435,2018,2018_148,four years as a commercial programmer followed by a masters in oceanography,Research grant proposal writing
437,2018,2018_150,job,Project management
438,2018,2018_150,job,mobile app development (for Psychology experiments)
439,2018,2018_150,job,JavaScript
443,2018,2018_154,university,concurrent
444,2018,2018_154,university,parallel programming
445,2018,2018_154,university,software design
446,2018,2018_154,university,management
447,2018,2018_155,job,
450,2018,2018_158,job,compiler development
451,2018,2018_158,job,numerical analysis
452,2018,2018_158,job,applying numerical analysis in computational science
453,2018,2018_159,university,numerical methods in IDL
454,2018,2018_159,university,Python
455,2018,2018_160,self-taught,Management of agile teams
456,2018,2018_160,self-taught,Management of agile teams
457,2018,2018_160,youtube videos etc.,Management of agile teams
458,2018,2018_160,self-taught,planning software projects
459,2018,2018_160,self-taught,planning software projects
460,2018,2018_160,youtube videos etc.,planning software projects
461,2018,2018_160,self-taught,cloud native architecture
462,2018,2018_160,self-taught,cloud native architecture
463,2018,2018_160,youtube videos etc.,cloud native architecture
465,2018,2018_162,job,
466,2018,2018_163,self-taught,Databases
467,2018,2018_163,self-taught,web development
468,2018,2018_163,self-taught,presentation skills.
469,2018,2018_164,job,My skills are not the problem
470,2018,2018_165,university,teaching of software development to non-experts
471,2018,2018_165,university,more practical coding experience
472,2018,2018_165,university,communicating the value of open-source scientific software
473,2018,2018_166,university,teaching
474,2018,2018_166,self-taught,teaching
475,2018,2018_166,job,teaching
476,2018,2018_166,university,hpc
477,2018,2018_166,self-taught,hpc
478,2018,2018_166,job,hpc
479,2018,2018_166,university,data science
480,2018,2018_166,self-taught,data science
481,2018,2018_166,job,data science
482,2018,2018_167,university,Management skills
483,2018,2018_167,university,Management skills
484,2018,2018_167,self-taught,Management skills
485,2018,2018_167,university,software project management methodologies
486,2018,2018_167,university,software project management methodologies
487,2018,2018_167,self-taught,software project management methodologies
488,2018,2018_168,job,Software Development
489,2018,2018_169,university,C++
490,2018,2018_170,self-taught,Efficient parallelization (threads or process)
491,2018,2018_170,self-taught,unit testing habits
492,2018,2018_170,self-taught,distribution systems (package manager
493,2018,2018_170,self-taught,build systems
494,2018,2018_170,self-taught,...)
495,2018,2018_171,self-taught,project management
496,2018,2018_171,self-taught,it security
497,2018,2018_171,self-taught,python
498,2018,2018_172,self-taught,Software Development Practises
499,2018,2018_172,self-taught,High Performance Coding
500,2018,2018_172,self-taught,tests needed.
501,2018,2018_173,university,Functional programming
502,2018,2018_173,university,DevOps skillset
503,2018,2018_173,university,Project Management
504,2018,2018_174,self-taught,
505,2018,2018_175,university,
506,2018,2018_176,self-taught,Knowing how to use the knowledge of my collegues
507,2018,2018_176,university,Knowing how to use the knowledge of my collegues
508,2018,2018_176,writing own software during research post,Knowing how to use the knowledge of my collegues
509,2018,2018_176,self-taught,CI
510,2018,2018_176,university,CI
511,2018,2018_176,writing own software during research post,CI
512,2018,2018_176,self-taught,"system administration (ACLs ,roles"
513,2018,2018_176,university,"system administration (ACLs ,roles"
514,2018,2018_176,writing own software during research post,"system administration (ACLs ,roles"
515,2018,2018_176,self-taught,ect)
516,2018,2018_176,university,ect)
517,2018,2018_176,writing own software during research post,ect)
518,2018,2018_177,self-taught,How to contribute to funding proposals (knowing funding bodies
519,2018,2018_177,university,How to contribute to funding proposals (knowing funding bodies
520,2018,2018_177,self-taught,schemes and their requirements). Learning more about legal issues in sharing code base. Standards in workflows to develop software in Academia.
521,2018,2018_177,university,schemes and their requirements). Learning more about legal issues in sharing code base. Standards in workflows to develop software in Academia.
526,2018,2018_182,university,
527,2018,2018_182,university,
528,2018,2018_182,postdoc,
529,2018,2018_182,self-taught,
530,2018,2018_183,self-taught,Best practices when coding any particular language. Experience.
531,2018,2018_184,university,Expertise in build systems (eg cmake)
532,2018,2018_184,job,Expertise in build systems (eg cmake)
533,2018,2018_184,university,teaching experience
534,2018,2018_184,job,teaching experience
535,2018,2018_184,university,numerical methods experience
536,2018,2018_184,job,numerical methods experience
538,2018,2018_186,self-taught,updates (such as at RSE2018)  in Github use
539,2018,2018_186,self-taught,testing
540,2018,2018_186,self-taught,influencing management
541,2018,2018_186,job,updates (such as at RSE2018)  in Github use
542,2018,2018_186,job,testing
543,2018,2018_186,job,influencing management
544,2018,2018_186,installing  and testing other software,updates (such as at RSE2018)  in Github use
545,2018,2018_186,installing  and testing other software,testing
546,2018,2018_186,installing  and testing other software,influencing management
547,2018,2018_186,job,updates (such as at RSE2018)  in Github use
548,2018,2018_186,job,testing
549,2018,2018_186,job,influencing management
550,2018,2018_187,job,
551,2018,2018_188,university,training ability
552,2018,2018_188,university,training ability
553,2018,2018_188,university,training ability
554,2018,2018_188,university,paper writing
555,2018,2018_188,university,paper writing
556,2018,2018_188,university,paper writing
557,2018,2018_188,university,management
558,2018,2018_188,university,management
559,2018,2018_188,university,management
560,2018,2018_189,self-taught,A higher level of coding ability
561,2018,2018_189,self-taught,task affinity
562,2018,2018_189,self-taught,ability to say no
565,2018,2018_192,self-taught,Machine learning
566,2018,2018_192,self-taught,data modelling
569,2018,2018_195,developing software,low latency programming
570,2018,2018_195,developing software,programming involving databases and network communication
571,2018,2018_196,as a sysadmin,Performance analysis
572,2018,2018_196,as a sysadmin,Testing
573,2018,2018_196,as a sysadmin,Writing (blog posts
574,2018,2018_196,as a sysadmin,tips
575,2018,2018_196,as a sysadmin,etc. 1:1 meetings are fine but they don't scale)
577,2018,2018_198,i wanted to write games,Machine Learning
578,2018,2018_198,now i write scientific visualization applications focused around medical and gpu computations,Machine Learning
579,2018,2018_198,i wanted to write games,(Better) Image Processing
580,2018,2018_198,now i write scientific visualization applications focused around medical and gpu computations,(Better) Image Processing
581,2018,2018_199,job,project management
582,2018,2018_199,job,raising funding
583,2018,2018_199,job,website management
585,2018,2018_201,self-taught,
586,2018,2018_202,self-taught,More data science expertise
587,2018,2018_202,self-taught,more self-confidence to try new things (e.g. languages)
588,2018,2018_202,self-taught,more teamwork as much of what I do is solitary so isolating at times. Having a career path that doesn't need me managing projects would stop me feeling so demoralised.
589,2018,2018_203,self-taught,
590,2018,2018_204,self-taught,Coding
591,2018,2018_204,self-taught,DevOps
592,2018,2018_204,self-taught,Project Management
593,2018,2018_205,university,Networking
594,2018,2018_205,then i kept them updated,Networking
595,2018,2018_205,university,Delegation
596,2018,2018_205,then i kept them updated,Delegation
597,2018,2018_205,university,Speaking to a non-technical audience
598,2018,2018_205,then i kept them updated,Speaking to a non-technical audience
599,2018,2018_206,self-taught,
600,2018,2018_207,little formal training,Project management tools for distributed projects. UI design. Automated unit test tools.
601,2018,2018_207,self-taught,Project management tools for distributed projects. UI design. Automated unit test tools.
602,2018,2018_208,self-taught,Python Pandas
603,2018,2018_208,self-taught,Data science
604,2018,2018_208,self-taught,Non-relational databases
605,2018,2018_209,self-taught,
606,2018,2018_210,through career as a scientist,Strategic planning
607,2018,2018_210,through career as a scientist,resource estimation
608,2018,2018_211,self-taught,Greater knowledge of modern development frameworks and technologies
609,2018,2018_211,self-taught,Ability to learn these faster.
610,2018,2018_212,university,
611,2018,2018_212,job,
612,2018,2018_212,self-taught,
613,2018,2018_212,professional software certifications,
614,2018,2018_213,self-taught,
615,2018,2018_214,personal study,
616,2018,2018_214,job,
617,2018,2018_214,professional training,
618,2018,2018_215,self-taught,
619,2018,2018_216,attended lecture courses,
620,2018,2018_216,asked more senior scientists for help with specific problems via email lists,
621,2018,2018_217,university,Successful grant writing so I can do my own research and increase my salary
622,2018,2018_217,university,Successful grant writing so I can do my own research and increase my salary
623,2018,2018_217,job,Successful grant writing so I can do my own research and increase my salary
624,2018,2018_217,university,GPU programming
625,2018,2018_217,university,GPU programming
626,2018,2018_217,job,GPU programming
627,2018,2018_217,university,Machine Learning
628,2018,2018_217,university,Machine Learning
629,2018,2018_217,job,Machine Learning
630,2018,2018_218,self-taught,HPC
631,2018,2018_218,self-taught,"""development on a budget"" (dealing with low funding)"
632,2018,2018_218,self-taught,venues to publish papers on software
633,2018,2018_219,university,Leadership and team management skills
634,2018,2018_219,university,Leadership and team management skills
635,2018,2018_219,university,mobile app skills
636,2018,2018_219,university,mobile app skills
639,2018,2018_222,self-taught,Maths
640,2018,2018_222,self-taught,continuous integration
641,2018,2018_222,self-taught,testing
642,2018,2018_222,self-taught,high-end python (client
643,2018,2018_222,self-taught,server
644,2018,2018_222,self-taught,parallel etc)
645,2018,2018_222,self-taught,C++
646,2018,2018_222,self-taught,image analysis
647,2018,2018_222,self-taught,deep learning
648,2018,2018_223,university,
649,2018,2018_224,university,
650,2018,2018_224,job,
651,2018,2018_224,hobby foss projects,
652,2018,2018_225,self-taught,
653,2018,2018_226,self-taught,Public cloud
654,2018,2018_226,self-taught,Software project skills (e.g. Agile)
655,2018,2018_226,self-taught,Publishing
657,2018,2018_228,self-taught,
659,2018,2018_230,university,
660,2018,2018_230,university,
662,2018,2018_232,self-taught,communication
663,2018,2018_232,self-taught,communication
664,2018,2018_232,mentor,communication
665,2018,2018_232,self-taught,GUI
666,2018,2018_232,self-taught,GUI
667,2018,2018_232,mentor,GUI
668,2018,2018_232,self-taught,management
669,2018,2018_232,self-taught,management
670,2018,2018_232,mentor,management
671,2018,2018_233,self-taught,knowledge of how to use design patterns on real code with assessment and feedback
672,2018,2018_233,self-taught,how to set up and use continuous integration tools
673,2018,2018_233,self-taught,introducing researchers to robust software development practices
674,2018,2018_233,a few training courses,knowledge of how to use design patterns on real code with assessment and feedback
675,2018,2018_233,a few training courses,how to set up and use continuous integration tools
676,2018,2018_233,a few training courses,introducing researchers to robust software development practices
677,2018,2018_233,self-taught,knowledge of how to use design patterns on real code with assessment and feedback
678,2018,2018_233,self-taught,how to set up and use continuous integration tools
679,2018,2018_233,self-taught,introducing researchers to robust software development practices
680,2018,2018_233,self-taught,knowledge of how to use design patterns on real code with assessment and feedback
681,2018,2018_233,self-taught,how to set up and use continuous integration tools
682,2018,2018_233,self-taught,introducing researchers to robust software development practices
683,2018,2018_234,as a researcher and crypto-rse,Pedacogic training
684,2018,2018_234,as a researcher and crypto-rse,"Training in R (tools I'm missing in general),"
686,2018,2018_236,formal training & practice,Email management
687,2018,2018_236,formal training & practice,time management
688,2018,2018_236,formal training & practice,MPI-3
