,Year_0,row_id,conf2can_0
982,2018,2018_708,The University of Washington Biostatistics Summer Institute
988,2018,2018_714,AGU
989,2018,2018_714,ESA
990,2018,2018_714,Phenome
993,2018,2018_717,isba
994,2018,2018_717,isec
995,2018,2018_717,best quantitative ecology group
1002,2018,2018_724,ROpenSci unconferences
1003,2018,2018_724,R user groups
1004,2018,2018_724,epirecipes
1005,2018,2018_724,misc other workshops
1009,2018,2018_728,AIAA Scitech
1011,2018,2018_728,AIAA Aviation
1012,2018,2018_729,R Users Conference
1013,2018,2018_729,American Society for Tropical Medicine and Hygiene
1016,2018,2018_731,Supercomputing
1017,2018,2018_731,APS
1019,2018,2018_731,CCP
1020,2018,2018_731,smaller meetings
1027,2018,2018_738,SPIE
1029,2018,2018_740,SPIE
1030,2018,2018_740,AAS
1032,2018,2018_742,SPPEXA workshops (German DFG programme)
1037,2018,2018_746,Various astronomy conferences
1038,2018,2018_747,ADASS
1039,2018,2018_747,IEEE
1040,2018,2018_747,IAU
1041,2018,2018_747,AAS
1044,2018,2018_750,AGU Fall Meeting
1053,2018,2018_759,SPIE
1057,2018,2018_763,ADASS
1058,2018,2018_763,American Astronomical Society
1059,2018,2018_763,IVOA
1061,2018,2018_765,AGU
1062,2018,2018_766,Computers in High Energy Physics
1068,2018,2018_771,ADASS
1069,2018,2018_772,PEARC
1070,2018,2018_772,Gateway
1075,2018,2018_777,INFORMS
1076,2018,2018_777,ISMP
1077,2018,2018_777,MIP
1081,2018,2018_780,Nitrides and SEM electron diffraction specialised
1082,2018,2018_781,APS Divison of Plasma Physics annual meeting
1083,2018,2018_781,SHINE conference
1084,2018,2018_781,American Geophysical Union annual meeting
1086,2018,2018_783,ASA meetings
1087,2018,2018_783,ADASS conference
1088,2018,2018_783,MWA telescope meeting
1089,2018,2018_783,PyCon Australia conference
1096,2018,2018_789,Wetton Workshop
1097,2018,2018_790,SIMUL
1098,2018,2018_790,ABMTRANS
1104,2018,2018_796,American Geophysical Union Annual Meeting
1105,2018,2018_797,ICSB
1106,2018,2018_797,Sys Mod
1107,2018,2018_797,and others
1108,2018,2018_798,IROS
1109,2018,2018_798,ICRA
1111,2018,2018_800,ADASS
1117,2018,2018_806,Workshops provided by our team
1127,2018,2018_816,American Geophysical Union
1129,2018,2018_818,Varies based on project.
1130,2018,2018_819,GPU Technology Conference
1132,2018,2018_820,radio astronomy)
1133,2018,2018_821,iRODS UGM
1144,2018,2018_832,AMIA
1147,2018,2018_835,WRF workshop
1148,2018,2018_835,NCAR SEA conference
1149,2018,2018_835,NOAA testbeds workshop
1151,2018,2018_837,AAS
1152,2018,2018_837,IAC
1153,2018,2018_837,others
1155,2018,2018_839,BOSC
1156,2018,2018_839,ISMB
1159,2018,2018_842,EGU
1180,2018,2018_859,ICTP Free and Open Source Science Software
1182,2018,2018_861,ERESEARCH AFRICA
1188,2018,2018_867,SpaceOps
1192,2018,2018_871,environmental modelling and software
1196,2018,2018_875,IEEE BIBE
1197,2018,2018_875,WAABD
1199,2018,2018_877,Most recently
1202,2018,2018_879,ADASS
1203,2018,2018_879,ESO Calibration Workshop
1205,2018,2018_881,IAS
1208,2018,2018_884,Ditchie Conference
1209,2018,2018_884,IFLA
1211,2018,2018_886,EGU
1212,2018,2018_886,iEMSs
1214,2018,2018_888,SciPy
1215,2018,2018_888,PyCon
1216,2018,2018_888,OceanoScience Meetings
1219,2018,2018_891,Ieee RE
1224,2018,2018_896,UseR!
1225,2018,2018_897,FHIR DevDays
1227,2018,2018_898,NZNOG
1228,2018,2018_899,ECOOP
1229,2018,2018_899,ICSLP
1246,2018,2018_916,SpaceOps
1249,2018,2018_919,OR/EURO
1250,2018,2018_920,emiw
1251,2018,2018_920,emtf dgg
1253,2018,2018_922,Historikertag
1254,2018,2018_922,Bibliothekarstag
1258,2018,2018_925,Symposium on Software Performance
1271,2018,2018_938,BOSC
1276,2018,2018_942,EGU
1277,2018,2018_942,AGU
