,Year_0,row_id,train3_0
756,2022,2022_615,coderefinery
757,2022,2022_615,local university
760,2022,2022_617,local university
761,2022,2022_618,carpentries
763,2022,2022_620,local department training
764,2022,2022_621,carpentries
765,2022,2022_621,local university
771,2022,2022_626,sovelto proskills
772,2022,2022_626,csc finland
773,2022,2022_626,microsoft fundamentals
779,2022,2022_632,kleine workshops im rahmen unserer arbeitsgruppe
781,2022,2022_634,carpentries
782,2022,2022_634,local university
783,2022,2022_635,carpentries
793,2022,2022_645,carpentries
794,2022,2022_646,local training
814,2022,2022_664,local university
815,2022,2022_664,formerly university teaching
821,2022,2022_670,local university
822,2022,2022_670,coderefinery
826,2022,2022_674,carpentries
827,2022,2022_674,local university
828,2022,2022_675,carpentries
829,2022,2022_676,local university
831,2022,2022_678,carpentries
832,2022,2022_678,local training
833,2022,2022_679,einführung in die nutzung unserer hauptsoftware 
835,2022,2022_681,carpentries
836,2022,2022_681,coderefinery
837,2022,2022_681,technical workshops offered at the institution
839,2022,2022_683,european project training
846,2022,2022_689,carpentries
849,2022,2022_692,local university
852,2022,2022_695,carpentries
853,2022,2022_695,local university
855,2022,2022_696,carpentries
857,2022,2022_696,itil training
862,2022,2022_701,carpentries
863,2022,2022_701,network based training
865,2022,2022_703,linked pasts activities
870,2022,2022_708,carpentries
872,2022,2022_710,carpentries
879,2022,2022_716,aufbau von vorlesung autonomous driving
880,2022,2022_717,workshops
881,2022,2022_717,lehrgang an universität
882,2022,2022_717,vorträge 
886,2022,2022_720,ictp school on hpc
891,2022,2022_725,carpentries
892,2022,2022_725,university digital scholarship training
893,2022,2022_726,programmierübung zur vorlesung
896,2022,2022_728,conference tutorials
900,2022,2022_732,training courses for users of my own software
901,2022,2022_733,hpc
905,2022,2022_737,informal
909,2022,2022_741,virtual observatory standards
910,2022,2022_742,carpentries
911,2022,2022_743,conference tutorials
918,2022,2022_750,local university
920,2022,2022_752,carpentries
923,2022,2022_755,university summer schools
925,2022,2022_757,university courses
930,2022,2022_761,training programme to use the software we write (hosted locally
935,2022,2022_765,carpentries
936,2022,2022_765,master program training
938,2022,2022_766,workshops auf konferenzen
939,2022,2022_766,workshops am institut
945,2022,2022_772,lehrgang an universitäten
946,2022,2022_772,interne weiterbildungen
951,2022,2022_777,local training
952,2022,2022_777,within group or university
957,2022,2022_782,carpentries
958,2022,2022_782,imperial college grad school
959,2022,2022_783,custom
960,2022,2022_784,conference tutorials
981,2022,2022_805,ibm developers
982,2022,2022_806,local university
992,2022,2022_816,lehrgang an universitäten
993,2022,2022_816, (summer) schools
994,2022,2022_816,interne schulungen
995,2022,2022_817,conference tutorials
