,Year_0,row_id,org2can
141,2022,2022_356,Networking
142,2022,2022_358,Networking
143,2022,2022_364,Networking
144,2022,2022_369,Networking
145,2022,2022_371,Networking
146,2022,2022_374,Networking
147,2022,2022_376,Networking
148,2022,2022_377,Networking
149,2022,2022_378,Networking
150,2022,2022_379,Networking
151,2022,2022_381,Networking
152,2022,2022_387,Networking
153,2022,2022_398,Networking
154,2022,2022_404,Networking
155,2022,2022_407,Networking
156,2022,2022_408,Networking
157,2022,2022_411,Networking
158,2022,2022_412,Networking
159,2022,2022_416,Networking
160,2022,2022_418,Networking
161,2022,2022_420,Networking
162,2022,2022_421,Networking
163,2022,2022_424,Networking
164,2022,2022_428,Networking
165,2022,2022_429,Networking
166,2022,2022_433,Networking
167,2022,2022_434,Networking
168,2022,2022_441,Networking
169,2022,2022_448,Networking
170,2022,2022_450,Networking
171,2022,2022_453,Networking
172,2022,2022_456,Networking
173,2022,2022_458,Networking
174,2022,2022_461,Networking
175,2022,2022_463,Networking
176,2022,2022_472,Networking
177,2022,2022_475,Networking
178,2022,2022_476,Networking
179,2022,2022_479,Networking
180,2022,2022_480,Networking
181,2022,2022_482,Networking
182,2022,2022_487,Networking
183,2022,2022_488,Networking
184,2022,2022_489,Networking
185,2022,2022_490,Networking
186,2022,2022_495,Networking
187,2022,2022_496,Networking
188,2022,2022_497,Networking
189,2022,2022_498,Networking
190,2022,2022_499,Networking
191,2022,2022_500,Networking
192,2022,2022_501,Networking
193,2022,2022_502,Networking
194,2022,2022_507,Networking
195,2022,2022_509,Networking
196,2022,2022_511,Networking
197,2022,2022_512,Networking
198,2022,2022_519,Networking
199,2022,2022_522,Networking
200,2022,2022_524,Networking
201,2022,2022_526,Networking
202,2022,2022_528,Networking
203,2022,2022_529,Networking
204,2022,2022_535,Networking
205,2022,2022_538,Networking
206,2022,2022_539,Networking
207,2022,2022_540,Networking
208,2022,2022_542,Networking
209,2022,2022_545,Networking
210,2022,2022_547,Networking
211,2022,2022_549,Networking
212,2022,2022_552,Networking
213,2022,2022_553,Networking
214,2022,2022_555,Networking
215,2022,2022_559,Networking
216,2022,2022_560,Networking
217,2022,2022_562,Networking
218,2022,2022_563,Networking
219,2022,2022_566,Networking
220,2022,2022_567,Networking
221,2022,2022_571,Networking
222,2022,2022_575,Networking
223,2022,2022_580,Networking
224,2022,2022_581,Networking
225,2022,2022_584,Networking
226,2022,2022_585,Networking
227,2022,2022_587,Networking
228,2022,2022_600,Networking
229,2022,2022_601,Networking
230,2022,2022_602,Networking
231,2022,2022_603,Networking
232,2022,2022_608,Networking
233,2022,2022_610,Networking
234,2022,2022_612,Networking
235,2022,2022_616,Networking
236,2022,2022_617,Networking
237,2022,2022_618,Networking
238,2022,2022_620,Networking
239,2022,2022_621,Networking
240,2022,2022_625,Networking
241,2022,2022_626,Networking
242,2022,2022_632,Networking
243,2022,2022_633,Networking
244,2022,2022_634,Networking
245,2022,2022_635,Networking
246,2022,2022_639,Networking
247,2022,2022_641,Networking
248,2022,2022_642,Networking
249,2022,2022_645,Networking
250,2022,2022_646,Networking
251,2022,2022_648,Networking
252,2022,2022_650,Networking
253,2022,2022_660,Networking
254,2022,2022_667,Networking
255,2022,2022_670,Networking
256,2022,2022_674,Networking
257,2022,2022_675,Networking
258,2022,2022_676,Networking
259,2022,2022_679,Networking
260,2022,2022_681,Networking
261,2022,2022_686,Networking
262,2022,2022_688,Networking
263,2022,2022_689,Networking
264,2022,2022_692,Networking
265,2022,2022_695,Networking
266,2022,2022_696,Networking
267,2022,2022_701,Networking
268,2022,2022_702,Networking
